Variables;Importance
results_flawfinder_error_buffer-fscanf;-0.0020
results_flawfinder_note_buffer-fscanf;-0.0018
results_flawfinder_note_buffer-sscanf;-0.0016
results_flawfinder_error_shell-popen;-0.0015
results_flawfinder_note_buffer-mismatch;-0.0013
results_flawfinder_note_input-readv;-0.0007
results_flawfinder_error_misc-SetSecurityDescriptorDacl;-0.0007
results_flawfinder_error_buffer-lstrcpynW;-0.0006
results_flawfinder_note_integer-atol;-0.0003
results_flawfinder_error_shell-system;-0.0003
results_flawfinder_warning_tmpfile-tmpnam;-0.0001
results_flawfinder_note_format-vfprintf;-0.0001
results_flawfinder_error_buffer-strcpy;-0.0001
results_flawfinder_error_race-chmod;0.0000
results_flawfinder_error_buffer-sprintf;0.0001
results_flawfinder_error_buffer-scanf;0.0007
results_flawfinder_note_buffer-CopyMemory;0.0007
results_flawfinder_note_access-umask;0.0015
results_flawfinder_error_buffer-strcpyW;0.0016
results_flawfinder_warning_misc-LoadLibrary;0.0018
results_flawfinder_note_misc-fopen;0.0018
results_flawfinder_note_buffer-wcslen;0.0023
results_flawfinder_error_crypto-crypt;0.0025
results_flawfinder_error_shell-ShellExecute;0.0028
results_flawfinder_note_buffer-_tcsncpy;0.0028
results_flawfinder_warning_misc-chroot;0.0030
results_flawfinder_note_format-_snprintf;0.0032
results_flawfinder_note_buffer-strncat;0.0033
results_flawfinder_note_buffer-strcat;0.0033
results_flawfinder_note_integer-_wtoi;0.0034
results_flawfinder_error_format-vsprintf;0.0035
results_flawfinder_error_buffer-wcscat;0.0037
results_flawfinder_note_tmpfile-mkstemp;0.0041
results_flawfinder_warning_buffer-getenv;0.0041
results_flawfinder_note_buffer-getc;0.0049
results_flawfinder_error_buffer-StrCpyNA;0.0057
results_flawfinder_note_buffer-scanf;0.0058
results_flawfinder_warning_buffer-getopt;0.0060
results_flawfinder_error_format-sprintf;0.0060
results_flawfinder_warning_buffer-realpath;0.0062
results_flawfinder_note_input-recvfrom;0.0062
results_flawfinder_note_format-vprintf;0.0062
