Variables;Importance
results_flawfinder_note_buffer-lstrcpyn;0.0073
results_flawfinder_warning_shell-CreateProcessAsUser;0.0073
results_flawfinder_error_access-ImpersonateLoggedOnUser;0.0073
results_flawfinder_error_format-wprintf;0.0100
results_flawfinder_note_format-snprintf;0.0117
results_flawfinder_note_buffer-strncat;0.0140
results_flawfinder_note_format-printf;0.0207
results_flawfinder_note_buffer-strlen;0.0283
results_flawfinder_note_buffer-equal;0.0356
results_flawfinder_note_input-fread;0.0468
