Issue,Importance
results_HLint_Warning_Redundant-pure,0.00013315
results_HLint_Warning_Use-isJust,-0.00000011
results_HLint_Warning_Fuse-foldMap/fmap,0.00000000
results_HLint_Warning_Use-optional,0.00000000
results_HLint_Warning_Use-find,0.00015381
results_HLint_Warning_Use-asks,0.00000000
results_HLint_Warning_Use-sortOn,-0.00000629
results_HLint_Error_Use-newTVarIO,0.00000284
results_HLint_Error_Use-readTVarIO,0.00000036
results_HLint_Warning_Use-replicateM_,0.00000010
results_HLint_Suggestion_Replace-case-with-fromMaybe,-0.00158224
results_HLint_Warning_Use-any,-0.00012992
results_HLint_Suggestion_Use-void,0.00223026
results_HLint_Warning_Use-isDigit,0.00000000
results_HLint_Warning_Use-or,0.00000000
results_HLint_Warning_Fuse-mapM/map,0.00000000
results_HLint_Warning_Use-unwords,0.00085278
results_HLint_Warning_Use-and,0.00000000
results_HLint_Warning_Use-maybeToList,0.00000000
results_HLint_Warning_Use-isAsciiUpper,0.00000000
results_HLint_Warning_Use-replicateM,0.00000000
results_HLint_Warning_Use-concat,-0.00003034
results_HLint_Warning_Use-init,0.00000000
results_HLint_Warning_Use-==,0.00000000
results_HLint_Suggestion_Use-catMaybes,0.00000000
results_HLint_Warning_Fuse-mapMaybe/map,0.00000000
results_HLint_Warning_Use-catMaybes,0.00000000
results_HLint_Suggestion_Move-map-inside-list-comprehension,0.00000000
results_HLint_Suggestion_Use-/=,0.00000000
results_HLint_Suggestion_Use-unwords,-0.00002619
results_HLint_Warning_Use-first,0.00002980
results_HLint_Warning_Use-evalState,0.00000000
results_HLint_Warning_Redundant-==,0.00000000
results_HLint_Warning_Use-last,0.00000000
results_HLint_Suggestion_Use-forM_,0.00000000
results_HLint_Warning_Use-dropWhile,-0.00000226
results_HLint_Warning_Redundant-flip,0.00006255
results_HLint_Warning_Redundant-irrefutable-pattern,0.00000000
results_HLint_Warning_Use-putStr,0.00000000
results_HLint_Warning_Use-putStrLn,0.00000000
results_HLint_Warning_Fuse-mapM_/map,0.00000000
results_HLint_Warning_Use-sequenceA,0.00000000
results_HLint_Warning_Use-take,0.00000000
results_HLint_Warning_Use-foldMap,0.00000000
results_HLint_Warning_Use-splitAt,0.00000000
results_HLint_Warning_Use-drop,0.00083735
results_HLint_Warning_Use-second,0.00005586
results_HLint_Warning_Fuse-foldMap/map,0.00000000
results_HLint_Warning_Use-!!,0.00000000
results_HLint_Warning_Use-bimap,0.00000000
results_HLint_Warning_Use-for_,0.00000000
results_HLint_Warning_Use-traverse_,0.00000000
results_HLint_Warning_Redundant-as-pattern,0.00000000
results_HLint_Suggestion_Use-handle,0.00000009
results_HLint_Warning_Redundant-first,0.00000000
results_HLint_Warning_Use-isSuffixOf,0.00000000
results_HLint_Warning_Use-fst,0.00000000
results_HLint_Error_Use-newTMVarIO,0.00000000
results_HLint_Warning_Use-mconcat,0.00182278
"results_HLint_Warning_Monoid-law,-left-identity",-0.00000249
results_HLint_Warning_Redundant-compare,0.00000000
results_HLint_Warning_Use-empty,0.00001465
results_HLint_Suggestion_Use-maybe,0.00003720
results_HLint_Warning_Use-maximum,0.00000000
results_HLint_Warning_Use-<|>,0.00000000
results_HLint_Warning_Use-break,0.00000000
results_HLint_Warning_Use-$,0.00000000
results_HLint_Suggestion_Redundant-==,0.00000000
results_HLint_Suggestion_Use-lambda,0.00000000
results_HLint_Suggestion_Redundant-list-comprehension,0.00000000
results_HLint_Suggestion_Use-forM,0.00000000
results_HLint_Warning_Using-fold-on-tuple,0.00000000
results_HLint_Warning_Use-shows,0.00000000
"results_HLint_Suggestion_Use-(,,)",0.00000000
results_HLint_Warning_Use-for,0.00000000
results_HLint_Warning_Use-hPrint,0.00000000
results_HLint_Warning_Redundant-seq,0.00000000
results_HLint_Warning_Redundant-$!,-0.00001138
results_HLint_Warning_Redundant-<&>,0.00000000
results_HLint_Warning_Missing-NOINLINE-pragma,0.00000000
results_HLint_Warning_Use-fromLeft,0.00000000
results_HLint_Warning_Use-zip,0.00000000
results_HLint_Warning_Use-group,0.00000000
results_HLint_Warning_Redundant-fromIntegral,0.00000000
