Issue,Importance
results_HLint_Warning_Use-isJust,0.00000000
results_HLint_Warning_Fuse-foldMap/fmap,0.00000000
results_HLint_Warning_Use-optional,0.00000000
results_HLint_Warning_Use-find,0.00000002
results_HLint_Warning_Use-asks,0.00000595
results_HLint_Warning_Use-sortOn,0.00000019
results_HLint_Error_Use-newTVarIO,-0.00000059
results_HLint_Error_Use-readTVarIO,0.00000058
results_HLint_Warning_Use-replicateM_,0.00000000
results_HLint_Suggestion_Replace-case-with-fromMaybe,0.00008118
results_HLint_Warning_Use-any,0.00000041
results_HLint_Suggestion_Use-void,0.00000200
results_HLint_Warning_Use-isDigit,0.00000000
results_HLint_Warning_Use-or,0.00000000
results_HLint_Warning_Fuse-mapM/map,0.00000016
results_HLint_Warning_Use-unwords,0.00000024
results_HLint_Warning_Use-and,0.00000000
results_HLint_Warning_Use-maybeToList,-0.00000007
results_HLint_Warning_Use-isAsciiUpper,0.00000000
results_HLint_Warning_Use-replicateM,0.00000000
results_HLint_Warning_Use-concat,0.00000000
results_HLint_Warning_Use-init,0.00000000
results_HLint_Warning_Use-==,0.00000000
results_HLint_Suggestion_Use-catMaybes,0.00000000
results_HLint_Warning_Fuse-mapMaybe/map,0.00000017
results_HLint_Warning_Use-catMaybes,0.00000000
results_HLint_Suggestion_Move-map-inside-list-comprehension,0.00000000
results_HLint_Suggestion_Use-/=,0.00000000
results_HLint_Suggestion_Use-unwords,0.00000000
results_HLint_Warning_Use-first,0.00000000
results_HLint_Warning_Use-evalState,0.00000000
results_HLint_Warning_Redundant-==,0.00000051
results_HLint_Warning_Use-last,0.00000051
results_HLint_Suggestion_Use-forM_,0.00000000
results_HLint_Warning_Use-dropWhile,0.00000000
results_HLint_Warning_Redundant-flip,0.00000102
results_HLint_Warning_Redundant-irrefutable-pattern,0.00000001
results_HLint_Warning_Use-putStr,0.00000000
results_HLint_Warning_Use-putStrLn,0.00000000
results_HLint_Warning_Fuse-mapM_/map,0.00000000
results_HLint_Warning_Use-sequenceA,0.00000010
results_HLint_Warning_Use-take,0.00000000
results_HLint_Warning_Use-foldMap,0.00000000
results_HLint_Warning_Use-splitAt,0.00000000
results_HLint_Warning_Use-drop,0.00000000
results_HLint_Warning_Use-second,0.00000000
results_HLint_Warning_Fuse-foldMap/map,0.00000000
results_HLint_Warning_Use-!!,0.00000000
results_HLint_Warning_Use-bimap,0.00000000
results_HLint_Warning_Use-for_,0.00000000
results_HLint_Warning_Use-traverse_,0.00000000
results_HLint_Warning_Redundant-as-pattern,0.00000000
results_HLint_Suggestion_Use-handle,0.00000000
results_HLint_Warning_Redundant-first,0.00000000
results_HLint_Warning_Use-isSuffixOf,0.00000000
results_HLint_Warning_Use-fst,0.00000000
results_HLint_Error_Use-newTMVarIO,0.00000000
results_HLint_Warning_Use-mconcat,0.00000000
"results_HLint_Warning_Monoid-law,-left-identity",0.00000000
results_HLint_Warning_Redundant-compare,0.00000000
results_HLint_Warning_Use-empty,0.00000000
results_HLint_Suggestion_Use-maybe,0.00000000
results_HLint_Warning_Use-maximum,0.00000000
results_HLint_Warning_Use-<|>,0.00000000
results_HLint_Warning_Use-break,0.00000000
results_HLint_Warning_Use-$,0.00000000
results_HLint_Suggestion_Redundant-==,0.00000001
results_HLint_Suggestion_Use-lambda,0.00000000
results_HLint_Suggestion_Redundant-list-comprehension,0.00000000
results_HLint_Suggestion_Use-forM,0.00000000
results_HLint_Warning_Using-fold-on-tuple,0.00000000
results_HLint_Warning_Use-shows,0.00000000
"results_HLint_Suggestion_Use-(,,)",0.00000000
results_HLint_Warning_Use-for,0.00000000
results_HLint_Warning_Use-hPrint,0.00002108
results_HLint_Warning_Redundant-seq,0.00000000
results_HLint_Warning_Redundant-$!,0.00000000
results_HLint_Warning_Redundant-<&>,0.00000000
results_HLint_Warning_Missing-NOINLINE-pragma,0.00000000
results_HLint_Warning_Use-fromLeft,0.00000000
results_HLint_Warning_Use-zip,0.00000000
results_HLint_Warning_Use-group,0.00000000
results_HLint_Warning_Redundant-fromIntegral,0.00000000
results_HLint_Warning_Redundant-maybe,0.00000000
results_HLint_Suggestion_Use-otherwise,0.00000000
results_HLint_Warning_Use-elemIndices,0.00000000
results_HLint_Warning_Use-sequence_,0.00000000
results_HLint_Warning_Use->>,0.00000000
results_HLint_Warning_Use-nub,0.00000000
results_HLint_Warning_Use-either,0.00000000
"results_HLint_Suggestion_Use-(,)",0.00000000
results_HLint_Warning_Use-repeat,0.00000000
results_HLint_Warning_Use-span,0.00000000
results_HLint_Warning_Use-traverse,0.00000000
results_HLint_Suggestion_Use-error,0.00000000
results_HLint_Suggestion_Use-odd,0.00000000
results_HLint_Warning_Use-minimum,0.00000000
results_HLint_Suggestion_Use-withFile,0.00000000
results_HLint_Warning_Used-otherwise-as-a-pattern,0.00000000
results_HLint_Warning_Use-sum,0.00000000
results_HLint_Warning_Redundant-curry,0.00000000
results_HLint_Warning_Use-execState,0.00000000
results_HLint_Suggestion_Use-showHex,0.00000000
results_HLint_Suggestion_Use-bracket_,0.00000000
results_HLint_Warning_Use-hReady,0.00000000
results_HLint_Suggestion_Use-tan,0.00000000
results_HLint_Suggestion_Move-flip,0.00000000
results_HLint_Warning_Using-minimum-on-tuple,0.00000000
results_HLint_Suggestion_Use-floor,0.00000000
results_HLint_Warning_Using-foldl1-on-tuple,0.00000000
results_HLint_Suggestion_Use-mapM,0.00000000
