Variables,Importance
results_ktlint_None_colon-spacing,-0.0192
results_ktlint_None_parameter-list-wrapping,-0.0072
results_ktlint_None_keyword-spacing,-0.0070
results_ktlint_None_string-template,-0.0043
results_ktlint_None_chain-wrapping,-0.0029
results_ktlint_None_no-consecutive-blank-lines,-0.0024
results_ktlint_None_indent,-0.0020
results_ktlint_None_modifier-order,-0.0017
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_no-line-break-before-assignment,0.0001
results_ktlint_None_range-spacing,0.0009
results_ktlint_None_comma-spacing,0.0015
results_ktlint_None_no-semi,0.0021
results_ktlint_None_dot-spacing,0.0034
results_ktlint_None_paren-spacing,0.0037
results_ktlint_None_no-empty-class-body,0.0051
results_ktlint_None_comment-spacing,0.0077
results_ktlint_None_no-blank-line-before-rbrace,0.0098
results_ktlint_None_curly-spacing,0.0107
results_ktlint_None_import-ordering,0.0110
results_ktlint_None_op-spacing,0.0113
results_ktlint_None_no-wildcard-imports,0.0169
results_ktlint_None_no-trailing-spaces,0.0178
results_ktlint_None_final-newline,0.0212
results_ktlint_None_no-multi-spaces,0.0223
results_ktlint_None_no-unit-return,0.0244
results_ktlint_None_,0.0275
results_ktlint_None_no-unused-imports,0.0394
