Variables,Importance
results_ktlint_None_curly-spacing,-0.0313
results_ktlint_None_colon-spacing,-0.0185
results_ktlint_None_no-consecutive-blank-lines,-0.0158
results_ktlint_None_parameter-list-wrapping,-0.0118
results_ktlint_None_paren-spacing,-0.0107
results_ktlint_None_string-template,-0.0068
results_ktlint_None_no-empty-class-body,-0.0054
results_ktlint_None_no-line-break-before-assignment,-0.0033
results_ktlint_None_chain-wrapping,-0.0029
results_ktlint_None_no-semi,-0.0010
results_ktlint_None_range-spacing,0.0000
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_no-trailing-spaces,0.0033
results_ktlint_None_no-blank-line-before-rbrace,0.0091
results_ktlint_None_modifier-order,0.0097
results_ktlint_None_comma-spacing,0.0118
results_ktlint_None_no-unit-return,0.0119
results_ktlint_None_no-wildcard-imports,0.0162
results_ktlint_None_dot-spacing,0.0174
results_ktlint_None_no-multi-spaces,0.0213
results_ktlint_None_final-newline,0.0249
results_ktlint_None_comment-spacing,0.0251
results_ktlint_None_op-spacing,0.0253
results_ktlint_None_import-ordering,0.0364
results_ktlint_None_no-unused-imports,0.0372
results_ktlint_None_keyword-spacing,0.0400
results_ktlint_None_indent,0.0606
results_ktlint_None_,0.0943
