Issue,Importance
results_HLint_Warning_Unused-LANGUAGE-pragma,-0.01018743
results_HLint_Suggestion_Use-foldl,0.00000000
results_HLint_Suggestion_Use-null,-0.00000366
results_HLint_Suggestion_Redundant-$,0.02097591
results_HLint_Suggestion_Use-lambda-case,0.00018436
results_HLint_Suggestion_Use-const,0.02573022
results_HLint_Warning_Use-fmap,0.07140562
results_HLint_Warning_Eta-reduce,0.08202680
results_HLint_Suggestion_Use-tuple-section,0.01002230
results_HLint_Suggestion_Use-bimap,0.00000300
results_HLint_Warning_Use-?~,0.00000935
results_HLint_Suggestion_Use-newtype-instead-of-data,0.00148734
results_HLint_Suggestion_Redundant-where,0.00001757
results_HLint_Warning_Use-mapMaybe,0.00184228
results_HLint_Warning_Redundant-return,-0.00018098
results_HLint_Suggestion_Use-intercalate,0.00000225
results_HLint_Suggestion_Redundant-bracket,-0.06331745
results_HLint_Suggestion_Use-typeRep,0.00000000
results_HLint_Suggestion_Avoid-lambda-using-`infix`,0.00033553
results_HLint_Suggestion_Use->=>,0.00000000
results_HLint_Suggestion_Avoid-lambda,0.00034252
results_HLint_Suggestion_Use-list-comprehension,-0.00004491
results_HLint_Warning_Redundant-bracket,-0.00044378
results_HLint_Suggestion_Use-camelCase,0.00009025
results_HLint_Warning_Use-concatMap,-0.00096788
results_HLint_Suggestion_Use-fmap,0.00000437
results_HLint_Warning_Redundant-lambda,0.00002169
results_HLint_Warning_Use-fewer-imports,0.03132751
results_HLint_Suggestion_Use-<$>,-0.06739856
results_HLint_Warning_Use-isNothing,-0.00002054
results_HLint_Warning_Use-tuple-section,0.03703105
results_HLint_Warning_Use-<&>,0.00000000
results_HLint_Suggestion_Move-brackets-to-avoid-$,-0.00361792
results_HLint_Warning_Use-foldM_,0.00000000
results_HLint_Warning_Use-<$>,0.00062931
results_HLint_Suggestion_Use-section,0.00250153
results_HLint_Warning_Use-all,0.00000000
results_HLint_Suggestion_Use-<&>,-0.00000931
results_HLint_Warning_Avoid-lambda,0.01872767
results_HLint_Warning_Use-const,0.00000000
results_HLint_Suggestion_Use-record-patterns,0.00513606
results_HLint_Suggestion_Redundant-section,0.00000000
results_HLint_Warning_Use-void,0.00000000
results_HLint_Warning_Functor-law,0.10933818
results_HLint_Warning_Redundant-id,-0.00000698
results_HLint_Warning_Use-map,-0.00009370
results_HLint_Suggestion_Use-foldr,0.00002415
results_HLint_Suggestion_Use-==,0.00000815
results_HLint_Warning_Use-notElem,0.00144875
results_HLint_Suggestion_Use-map-once,0.00022089
results_HLint_Warning_Redundant-<$>,0.00152341
results_HLint_Warning_Use-gets,0.00001890
results_HLint_Suggestion_Use-infix,0.00019897
results_HLint_Warning_Use-maybe,-0.00727308
results_HLint_Warning_Use-fewer-LANGUAGE-pragmas,0.00000000
"results_HLint_Warning_Monad-law,-left-identity",0.00000000
results_HLint_Suggestion_Use-<=<,0.00000161
results_HLint_Suggestion_Use-uncurry,0.01672528
results_HLint_Suggestion_Use-if,0.00027508
results_HLint_Warning_Use-elem,0.00000000
results_HLint_Suggestion_Fuse-concatMap/map,0.00000000
results_HLint_Warning_Use-elemIndex,0.00000000
results_HLint_Warning_Hoist-not,0.00003159
results_HLint_Warning_Use-when,0.00004217
results_HLint_Warning_Redundant-bang-pattern,-0.00000342
results_HLint_Warning_Use-replicate,0.00001303
results_HLint_Suggestion_Use-:,0.00625564
results_HLint_Warning_Use-mapM_,-0.00010032
results_HLint_Warning_Use-mapM,0.00000470
results_HLint_Suggestion_Redundant-guard,0.00000000
results_HLint_Warning_Use-id,0.00000000
results_HLint_Suggestion_Use-=<<,0.00012022
results_HLint_Suggestion_Use-pragma-syntax,0.00000000
results_HLint_Suggestion_Use-let,0.00008782
results_HLint_Suggestion_Use-head,-0.00030307
results_HLint_Suggestion_Fix-pragma-markup,0.00000000
results_HLint_Suggestion_Use-even,0.00000000
results_HLint_Warning_Use-/=,0.00001091
results_HLint_Warning_Redundant-if,-0.00945394
results_HLint_Warning_Redundant-map,-0.06743587
results_HLint_Warning_Evaluate,-0.00000764
results_HLint_Warning_Redundant-variable-capture,0.00000000
results_HLint_Warning_Use-uncurry,0.00000000
results_HLint_Warning_Use-print,0.00000000
"results_HLint_Warning_Monad-law,-right-identity",0.00000000
results_HLint_Warning_Use-forM_,-0.00000307
results_HLint_Warning_Use-unless,0.00005121
results_HLint_Warning_Use-exitSuccess,0.00000000
results_HLint_Warning_Use-isAlpha,0.00000000
results_HLint_Suggestion_Use-zipWith,-0.00000010
results_HLint_Warning_Use-getContents,0.00000000
results_HLint_Warning_Use-join,0.00002886
results_HLint_Suggestion_Use-<$,0.00000660
results_HLint_Warning_Avoid-reverse,0.00000000
results_HLint_Suggestion_Collapse-lambdas,0.00000000
results_HLint_Suggestion_Use-guards,0.00333356
results_HLint_Suggestion_Fuse-foldr/map,0.00008108
results_HLint_Suggestion_Use-curry,0.00000000
results_HLint_Suggestion_Use-foldM,0.00000000
results_HLint_Warning_Use-zipWithM,0.00000000
results_HLint_Suggestion_Use-second,-0.00000042
results_HLint_Suggestion_Move-guards-forward,0.00005782
results_HLint_Suggestion_Use-||,0.00000000
results_HLint_Warning_Use-minimumBy,0.00000000
results_HLint_Suggestion_Use-negate,0.00000000
results_HLint_Suggestion_Replace-case-with-maybe,0.01170044
results_HLint_Suggestion_Use-list-literal,-0.00069191
results_HLint_Warning_Redundant-uncurry,0.00000000
results_HLint_Suggestion_Use-++,-0.01970678
results_HLint_Warning_Use->,0.00000000
results_HLint_Warning_Use-<=,0.00000000
results_HLint_Warning_Redundant-fmap,0.00057859
results_HLint_Suggestion_Use-first,-0.00000003
results_HLint_Suggestion_Redundant-case,0.00000000
"results_HLint_Warning_Monoid-law,-right-identity",0.00000000
results_HLint_Suggestion_Use-&&,0.00015575
results_HLint_Warning_Use-zipWithM_,0.00000000
results_HLint_Suggestion_Redundant-as,0.00006539
results_HLint_Suggestion_Use-$>,0.00003296
results_HLint_Warning_Redundant-multi-way-if,0.00143548
results_HLint_Warning_Redundant-^.,0.00023746
