Variables;Importance
results_flawfinder_warning_shell-CreateProcessAsUser;0.0001
results_flawfinder_error_access-ImpersonateLoggedOnUser;0.0001
results_flawfinder_note_integer-atol;0.0032
results_flawfinder_error_format-wprintf;0.0041
results_flawfinder_note_buffer-char;0.0060
results_flawfinder_note_buffer-strlen;0.0070
results_flawfinder_note_buffer-strncat;0.0112
results_flawfinder_note_format-snprintf;0.0120
results_flawfinder_note_format-printf;0.0147
results_flawfinder_note_buffer-equal;0.0349
results_flawfinder_note_input-fread;0.0453
