Issue,Importance
results_flawfinder_note_buffer-strlen,0.04717418
results_flawfinder_note_buffer-char,0.00298146
results_flawfinder_note_buffer-memcpy,0.08496896
results_flawfinder_note_input-fread,0.00086057
results_flawfinder_note_misc-fopen,0.00063322
results_flawfinder_error_race-chmod,0.00000000
results_flawfinder_note_buffer-strncpy,0.00196201
results_flawfinder_note_format-fprintf,0.00265021
results_flawfinder_error_buffer-wcscpy,0.00000000
results_flawfinder_note_buffer-wcslen,0.01477116
results_flawfinder_note_buffer-wchar_t,0.00000000
results_flawfinder_note_buffer-read,-0.09134379
results_flawfinder_note_format-printf,0.00388077
results_flawfinder_error_format-printf,0.00026751
results_flawfinder_note_misc-open,0.00045047
results_flawfinder_error_format-snprintf,0.00241318
results_flawfinder_error_race-access,0.00052564
results_flawfinder_note_access-umask,-0.00088900
results_flawfinder_note_tmpfile-mkstemp,0.00000000
results_flawfinder_error_format-vsnprintf,0.00000000
results_flawfinder_error_race-readlink,0.00000000
results_flawfinder_note_input-recv,-0.09387843
results_flawfinder_error_tmpfile-mktemp,0.00000000
results_flawfinder_error_buffer-wcscat,0.00000000
results_flawfinder_warning_buffer-getenv,0.00149436
results_flawfinder_warning_misc-InitializeCriticalSection,0.00008596
results_flawfinder_note_buffer-mismatch,0.00000000
results_flawfinder_error_buffer-gets,0.00000000
results_flawfinder_note_format-snprintf,0.00057917
results_flawfinder_error_buffer-strcpy,-0.00056640
results_flawfinder_note_buffer-sprintf,-0.00033858
results_flawfinder_error_buffer-strcat,-0.00003151
results_flawfinder_error_shell-system,0.00000000
results_flawfinder_note_buffer-sscanf,0.00130289
results_flawfinder_note_buffer-strcpy,-0.00003195
results_flawfinder_warning_misc-LoadLibrary,0.00000590
results_flawfinder_error_buffer-sprintf,0.00008531
results_flawfinder_error_format-fprintf,0.00000000
results_flawfinder_warning_buffer-realpath,0.00000000
results_flawfinder_warning_random-srand,-0.05401592
results_flawfinder_warning_tmpfile-GetTempFileName,0.00000000
results_flawfinder_note_integer-atol,0.00000000
results_flawfinder_note_buffer-MultiByteToWideChar,-0.00097434
results_flawfinder_note_buffer-strcat,0.00051411
results_flawfinder_error_shell-execv,0.00000000
results_flawfinder_note_buffer-getchar,0.00026516
results_flawfinder_note_buffer-strncat,0.00000000
results_flawfinder_note_obsolete-usleep,0.00009092
results_flawfinder_error_format-vfprintf,0.00323891
results_flawfinder_note_buffer-equal,0.03192965
results_flawfinder_note_buffer-wcsncpy,0.00000000
results_flawfinder_error_buffer-scanf,0.00000000
results_flawfinder_error_buffer-lstrcpyW,0.00000000
results_flawfinder_error_buffer-lstrcpynW,0.00000000
results_flawfinder_error_buffer-strcpyW,0.00000000
results_flawfinder_note_tmpfile-tmpfile,-0.00001697
results_flawfinder_error_format-wprintf,0.00000000
results_flawfinder_note_buffer-fgetc,0.00000000
results_flawfinder_error_buffer-lstrcpynA,0.00000000
results_flawfinder_note_integer-atoi,-0.00012183
results_flawfinder_note_buffer-wcsncat,0.00000000
results_flawfinder_warning_tmpfile-tmpnam,0.00000000
results_flawfinder_note_format-vsprintf,0.00000000
results_flawfinder_error_buffer-vwscanf,0.00000000
results_flawfinder_error_buffer-lstrcpyA,0.00000000
results_flawfinder_error_format-fwprintf,0.00000000
results_flawfinder_error_format-_snprintf,0.00000000
results_flawfinder_error_buffer-vfwscanf,0.00000000
results_flawfinder_error_format-swprintf,0.00000000
results_flawfinder_note_integer-_wtoi,0.00000000
results_flawfinder_error_format-vswprintf,0.00000000
results_flawfinder_note_format-sprintf,0.00000000
results_flawfinder_error_buffer-lstrcatA,0.00000000
results_flawfinder_error_buffer-lstrcatW,0.00000000
results_flawfinder_error_buffer-fscanf,0.00000000
results_flawfinder_note_format-swprintf,0.00000000
results_flawfinder_note_buffer-wcscat,0.00000000
results_flawfinder_error_access-ImpersonateLoggedOnUser,0.00000000
results_flawfinder_warning_shell-CreateProcessAsUser,0.00000000
results_flawfinder_note_buffer-lstrcpyn,0.00000000
results_flawfinder_warning_misc-AddAccessAllowedAce,0.00000000
results_flawfinder_error_buffer-lstrcat,0.00000000
results_flawfinder_note_buffer-CopyMemory,0.00000000
results_flawfinder_warning_shell-CreateProcess,0.00000000
results_flawfinder_warning_misc-LoadLibraryEx,0.00000000
results_flawfinder_error_buffer-lstrcpy,0.00000000
results_flawfinder_error_buffer-swprintf,0.00000000
results_flawfinder_note_buffer-wcscpy,0.00000000
results_flawfinder_note_buffer-swprintf,0.00000000
results_flawfinder_error_format-sprintf,0.00000000
results_flawfinder_note_buffer-TCHAR,0.00000000
results_flawfinder_note_buffer-_tcscat,0.00000000
results_flawfinder_error_shell-WinExec,0.00000000
results_flawfinder_error_access-RpcImpersonateClient,0.00000000
results_flawfinder_error_buffer-_tcscat,0.00000000
results_flawfinder_error_buffer-StrCpyNA,0.00000000
results_flawfinder_warning_random-random,0.00000000
results_flawfinder_error_format-vsprintf,0.00000000
results_flawfinder_note_buffer-getc,0.00000000
results_flawfinder_note_buffer-_tcsncpy,0.00000000
results_flawfinder_error_shell-ShellExecute,0.00000000
results_flawfinder_note_format-wprintf,0.00000000
results_flawfinder_note_buffer-_tcslen,0.00000000
results_flawfinder_note_format-_sntprintf,0.00000000
results_flawfinder_error_buffer-StrCatA,0.00000000
results_flawfinder_error_buffer-StrCpyA,0.00000000
results_flawfinder_error_buffer-StrCatBuffW,0.00000000
results_flawfinder_note_format-fwprintf,0.00000000
results_flawfinder_error_crypto-crypt,0.00000000
results_flawfinder_error_shell-popen,0.00000000
results_flawfinder_note_format-_snprintf,0.00000000
results_flawfinder_error_buffer-sscanf,0.00000000
results_flawfinder_error_buffer-_tcscpy,0.00000000
results_flawfinder_error_buffer-StrCatChainW,0.00000000
results_flawfinder_error_access-ImpersonateSecurityContext,0.00000000
results_flawfinder_note_input-recvfrom,0.00000000
results_flawfinder_error_shell-execl,0.00000000
results_flawfinder_warning_buffer-getopt_long,0.00000000
results_flawfinder_note_format-syslog,0.00000000
results_flawfinder_warning_buffer-getopt,-0.13227237
results_flawfinder_note_format-vprintf,0.00147812
results_flawfinder_error_format-vprintf,0.00000000
results_flawfinder_warning_random-srandom,0.00000000
results_flawfinder_note_format-vfprintf,0.00000000
results_flawfinder_warning_random-setstate,-0.00860893
results_flawfinder_error_format-syslog,0.00000000
results_flawfinder_note_buffer-scanf,0.00000000
results_flawfinder_note_buffer-fscanf,0.00000000
results_flawfinder_error_race-chown,0.00000000
results_flawfinder_note_format-vsnprintf,0.00000000
results_flawfinder_error_buffer-vsscanf,0.00000000
results_flawfinder_error_shell-execlp,0.00000000
results_flawfinder_error_misc-SetSecurityDescriptorDacl,0.00000000
results_flawfinder_note_input-readv,0.00000000
results_flawfinder_warning_misc-chroot,0.00000000
results_flawfinder_error_buffer-vsprintf,0.00000000
results_flawfinder_error_buffer-MultiByteToWideChar,0.00000000
